tel,email,client_id,TotalSum,TotalAvg,Orders
7315255315,pcnadulaf@list.ru,STf73nt3Asjnf47d,6530,6530.0,1
7473153175,arc-druralpzc@bk.ru,lpcvQf337zvzdwrd,563,563.0,1
7301092504,,3rlf4nwygntYucvU,1682,1682.0,1
7359773723,dppl-cunrac3133@yandex.ru,rdjfTXfUzfsSgqLc,1272,1272.0,1
7533353595,,3ADjfgnYvdusUSrU,646,646.0,1
7499055401,,T3Qz3z3dAfjcp4ff,1205,1205.0,1
7132257235,crcsptcc-34@inbox.ru,adUsycvjgfvYcCws,508,508.0,1
7093253105,,rv4qz1nuz7vOpQfg,860,860.0,1
7575251273,Lgfc-dzatradrgzc74@mail.ru,J7Dap3fCft4rcns1,3615,1205.0,3
7552255595,tpfyctpfyc84-tt@gmail.com,LanfTY7fD4rO7Sfr,2409,1204.5,2
7054252259,ppzzcptpzsc@icluad.com,a7n3qYvQOa317fjJ,943,943.0,1
7011770435,dduncpzzc@mail.ru,u3qR8A8qLtA3ypf8,627,627.0,1
7332913555,zlcdazar-dzuspz@yandex.ru,TlTp8fLn33rqXCRy,3780,3780.0,1
7551250345,clgcscfdrczczgtpzc@ya.ru,7uzZvnpO3XDzaaCS,680,680.0,1
7425259535,a-npnpvv@yandex.ru,7vpzY74gL3Ocjryr,980,980.0,1
7300157352,,c8gnAndfza77raas,1640,1640.0,1
7431252437,fcrfcst-87@mail.ru,aC3aOlSWdYgrc4g3,1066,1066.0,1
7457253074,plpcdruspzsccyc@gmail.com,nSnRpXf8QDqdvn4n,750,750.0,1
7353522375,f-sczatsccyc@eatom.ru,Ap3fWtgtdzO1zcwj,1575,787.5,2
7232259353,fgnpcurasr33@gmail.com,uuz3azqzg4rj3ttd,1100,1100.0,1
7000090799,,x3srZCwpWjSzxcnp,1744,1744.0,1
7322351303,cfcstcsac-cutcrcafc@yandex.ru,nzaz8r7dazDDf4JL,510,510.0,1
7019250351,crcn774@gmail.com,s3cgpSCrUxQyOqux,605,605.0,1
7574335115,,znzr4jXO4773X34a,995,995.0,1
7473253133,lgfc-cuzzafc3783@yandex.ru,7n44vQzQwQyC3Llz,260,260.0,1
7351535735,,7OXzyOcc3s1q3sYt,1052,1052.0,1
7152773505,puzrac-r@mail.ru,ZRJO47qgyrnjsyjy,376,376.0,1
7143354537,gzpgfay-z7437@gmail.com,4wfp3OOdngldpRr3,1869,1869.0,1
7457255393,lgfccruplpzc@yandex.ru,Lz8pl3vrQnp174f8,290,290.0,1
7753770900,zgdaracf@icloud.com,nzxU7CRzAQgl47Jn,935,935.0,1
7092530992,tcfatc74@inbox.ru,aSRZfuvAcqzQvrd7,479,479.0,1
7595250559,yulayc-zrulgzc@yandex.ru,arpTunLc3pQjnRt1,2096,2096.0,1
7253092355,dcracffc-dd@gmail.com,fcr7w73fpZ7aywqt,412,412.0,1
7507255347,z-j-33_77@mail.ru,nfraw1LW8J843qra,2800,2800.0,1
7154253705,zczarfc@mail.ru,z8ynwvW7pYq4UOlv,3666,3666.0,1
7535135035,gfdpfg3@mail.ru,4g8SJRUpSLJrcDvJ,794,794.0,1
