client_id,dt,total,bonus,tel,email
4743733333877481,2018-02-14,2230,0,7557093905,crastyf3@yandex.ru
wn7pqrrUlapnrnLv,2018-02-14,1200,0,7399253734,zafccpzccf@gmail.com
v77spa3ssg3cg8cp,2018-02-14,400,140,7301152055,
vTzQyRgpAz1Dzzrd,2018-02-14,390,390,7011255934,87788433718@mail.ru
CpjYsW33Cpzw7Dtg,2018-02-14,1030,0,7550255373,cffc-fpscdr7@mail.ru
7333771774717871,2018-02-14,690,0,7092257335,cscjfpp@mail.ru
fgc3rrrzOn4z343d,2018-02-14,2352,67,7121333212,pnpjcs@gmail.com
STf73nt3Asjnf47d,2018-02-14,6530,0,7315255315,pcnadulaf@list.ru
lpcvQf337zvzdwrd,2018-02-15,563,76,7473153175,arc-druralpzc@bk.ru
3rlf4nwygntYucvU,2018-02-15,1682,442,7301092504,
rdjfTXfUzfsSgqLc,2018-02-15,1272,97,7359773723,dppl-cunrac3133@yandex.ru
3ADjfgnYvdusUSrU,2018-02-15,646,44,7533353595,
T3Qz3z3dAfjcp4ff,2018-02-15,1205,144,7499055401,
adUsycvjgfvYcCws,2018-02-15,508,81,7132257235,crcsptcc-34@inbox.ru
rv4qz1nuz7vOpQfg,2018-02-15,860,860,7093253105,
OajnwnXr8pcwrr3p,2018-02-15,1342,247,7703255201,pcldcc-nplsrccpzc@yandex.ru
J7Dap3fCft4rcns1,2018-02-15,2025,0,7575251273,Lgfc-dzatradrgzc74@mail.ru
LanfTY7fD4rO7Sfr,2018-02-16,919,535,7552255595,tpfyctpfyc84-tt@gmail.com
a7n3qYvQOa317fjJ,2018-02-16,943,726,7054252259,ppzzcptpzsc@icluad.com
u3qR8A8qLtA3ypf8,2018-02-16,627,82,7011770435,dduncpzzc@mail.ru
TlTp8fLn33rqXCRy,2018-02-16,3780,0,7332913555,zlcdazar-dzuspz@yandex.ru
7uzZvnpO3XDzaaCS,2018-02-16,680,0,7551250345,clgcscfdrczczgtpzc@ya.ru
7vpzY74gL3Ocjryr,2018-02-16,980,0,7425259535,a-npnpvv@yandex.ru
c8gnAndfza77raas,2018-02-16,1640,0,7300157352,
aC3aOlSWdYgrc4g3,2018-02-16,1066,43,7431252437,fcrfcst-87@mail.ru
nSnRpXf8QDqdvn4n,2018-02-16,750,0,7457253074,plpcdruspzsccyc@gmail.com
Ap3fWtgtdzO1zcwj,2018-02-16,1100,0,7353522375,f-sczatsccyc@eatom.ru
uuz3azqzg4rj3ttd,2018-02-17,1100,0,7232259353,fgnpcurasr33@gmail.com
x3srZCwpWjSzxcnp,2018-02-17,1744,46,7000090799,
nzaz8r7dazDDf4JL,2018-02-17,510,0,7322351303,cfcstcsac-cutcrcafc@yandex.ru
LanfTY7fD4rO7Sfr,2018-02-17,1490,0,7552255595,tpfyctpfyc84-tt@gmail.com
Ap3fWtgtdzO1zcwj,2018-02-17,475,475,7353522375,f-sczatsccyc@eatom.ru
s3cgpSCrUxQyOqux,2018-02-17,605,95,7019250351,crcn774@gmail.com
J7Dap3fCft4rcns1,2018-02-17,380,279,7575251273,Lgfc-dzatradrgzc74@mail.ru
CpjYsW33Cpzw7Dtg,2018-02-17,2830,0,7550255373,cffc-fpscdr7@mail.ru
znzr4jXO4773X34a,2018-02-17,995,64,7574335115,
7wvp8fATCQT4nz7f,2018-02-17,1555,0,7301251070,zcrtc_z87@mail.ru
7n44vQzQwQyC3Llz,2018-02-17,260,260,7473253133,lgfc-cuzzafc3783@yandex.ru
J7Dap3fCft4rcns1,2018-02-18,1210,0,7575251273,Lgfc-dzatradrgzc74@mail.ru
vwTv3vATpX787Yzp,2018-02-18,2670,0,7455259314,stcssncrtcc87@gmail.com
jvY4n4jl8pTwdzct,2018-02-18,420,89,7539051492,87143783433@mail.ru
7OXzyOcc3s1q3sYt,2018-02-18,1052,87,7351535735,
v77spa3ssg3cg8cp,2018-02-18,360,69,7301152055,
ZRJO47qgyrnjsyjy,2018-02-18,376,283,7152773505,puzrac-r@mail.ru
4wfp3OOdngldpRr3,2018-02-18,1869,185,7143354537,gzpgfay-z7437@gmail.com
Lz8pl3vrQnp174f8,2018-02-18,290,290,7457255393,lgfccruplpzc@yandex.ru
nzxU7CRzAQgl47Jn,2018-02-18,935,484,7753770900,zgdaracf@icloud.com
aSRZfuvAcqzQvrd7,2018-02-18,479,70,7092530992,tcfatc74@inbox.ru
arpTunLc3pQjnRt1,2018-02-19,2096,444,7595250559,yulayc-zrulgzc@yandex.ru
UR1zdJUu4cn7JngO,2018-02-19,377,227,7555253405,cpsgr3337@mail.ru
fcr7w73fpZ7aywqt,2018-02-19,412,117,7253092355,dcracffc-dd@gmail.com
nfraw1LW8J843qra,2018-02-20,2800,0,7507255347,z-j-33_77@mail.ru
z8ynwvW7pYq4UOlv,2018-02-20,3666,334,7154253705,zczarfc@mail.ru
4g8SJRUpSLJrcDvJ,2018-02-20,794,136,7535135035,gfdpfg3@mail.ru
